Group,abx,expgroup,nextDayCFU,Otu001,Otu002,Otu003,Otu004,Otu005,Otu006,Otu007,Otu008,Otu009,Otu011,Otu013,Otu014,Otu015,Otu016,Otu017,Otu018,Otu019,Otu021,Otu024,Other
086-4-D0,Vancomycin,3vanc.3,16400000,0.017,0.005308,0.006538,0.002231,0.122846,0.510538,0.275462,0.034231,0.002846,0.001615,0.001,0.004077,0.001,0.001615,0.001615,0.001,0.001615,0.002231,0.001,0.026232
086-5-D0,Vancomycin,3vanc.3,22500000,0.017615,0.003462,0.004692,0.002231,0.103769,0.293308,0.313615,0.165308,0.002846,0.001,0.001,0.002846,0.001,0.001,0.085308,0.001,0.001615,0.001,0.001,0.016385
087-1-D-6,Vancomycin,1untrVanc,0,0.608385,0.028077,0.103154,0.015154,0.016385,0.017,0.002846,0.001615,0.026846,0.045308,0.004692,0.067462,0.011462,0.039769,0.002846,0.001,0.001,0.001615,0.001,0.024384
087-2-D-6,Vancomycin,1untrVanc,0,0.492077,0.009615,0.123462,0.022538,0.069923,0.026231,0.001615,0.002846,0.034231,0.089,0.006538,0.036077,0.025615,0.053923,0.002231,0.001,0.001,0.001,0.001,0.020078
087-3-D-6,Vancomycin,1untrVanc,0,0.605308,0.034846,0.065,0.044077,0.036692,0.039769,0.003462,0.004692,0.032385,0.043462,0.005923,0.024385,0.016385,0.036077,0.001,0.001615,0.002231,0.001615,0.001,0.020076
087-4-D-6,Vancomycin,1untrVanc,0,0.619462,0.077308,0.091462,0.026231,0.018846,0.037923,0.004692,0.004077,0.012692,0.020692,0.001615,0.042846,0.010846,0.024385,0.001,0.001,0.001615,0.001,0.001,0.021308
096-1-D-6,Vancomycin,1untrVanc,0,0.663154,0.020077,0.092692,0.009615,0.115462,0.003462,0.001615,0.004077,0.018846,0.006538,0.003462,0.037923,0.004077,0.029308,0.001615,0.001,0.001,0.001,0.001,0.004077
096-2-D-6,Vancomycin,1untrVanc,0,0.651462,0.039154,0.147462,0.017615,0.034846,0.004692,0.001,0.005923,0.008385,0.001615,0.010231,0.058846,0.003462,0.015769,0.006538,0.001,0.001,0.001,0.001,0.009
741-1D-6,Vancomycin,1untrVanc,0,0.523462,0.106846,0.105615,0.021308,0.020692,0.029923,0.001615,0.005923,0.009615,0.070538,0.007154,0.018846,0.001615,0.066231,0.002846,0.005923,0.002846,0.002231,0.002846,0.013925
741-2D-6,Vancomycin,1untrVanc,0,0.466846,0.153,0.098231,0.055769,0.029308,0.065,0.001615,0.010231,0.011462,0.028692,0.022538,0.021923,0.002231,0.021308,0.003462,0.001,0.001,0.001,0.001,0.024384
741-3D-6,Vancomycin,1untrVanc,0,0.517308,0.126538,0.092692,0.053308,0.037308,0.076077,0.002846,0.013308,0.009615,0.018846,0.009615,0.013308,0.002231,0.018231,0.001,0.001,0.001,0.001,0.001,0.023769
087-1-D0,Vancomycin,4vanc.1,13600000,0.273,0.048385,0.300077,0.004692,0.042231,0.106846,0.085923,0.017615,0.002231,0.001,0.031769,0.025,0.001,0.001,0.071154,0.001,0.001,0.001,0.001,0.004077
087-2-D0,Vancomycin,4vanc.1,19100000,0.254538,0.030538,0.294538,0.026846,0.044692,0.099462,0.080385,0.016385,0.011462,0.003462,0.006538,0.023769,0.001,0.001,0.014538,0.002846,0.004692,0.003462,0.004692,0.095155
087-3-D0,Vancomycin,4vanc.1,14000000,0.321615,0.009615,0.298231,0.001,0.064385,0.116077,0.069923,0.037923,0.002231,0.002846,0.019462,0.001,0.001,0.001615,0.055769,0.001,0.001,0.001,0.001,0.013308
087-4-D0,Vancomycin,4vanc.1,19600000,0.329,0.020692,0.297,0.002846,0.033615,0.146231,0.108077,0.025615,0.001,0.001,0.013923,0.008385,0.001,0.001,0.018846,0.001,0.001,0.001,0.001,0.00777
096-1-D0,Vancomycin,4vanc.1,13200000,0.113,0.006538,0.499462,0.001615,0.091462,0.096385,0.116077,0.039769,0.001,0.001,0.001,0.001,0.001,0.001,0.037308,0.001,0.001,0.001615,0.001,0.007769
096-2-D0,Vancomycin,4vanc.1,26400000,0.084077,0.001,0.607154,0.001615,0.079769,0.047154,0.110538,0.044692,0.001,0.001,0.004077,0.001,0.001615,0.001,0.023154,0.002231,0.001,0.001,0.001,0.005924
741-1D0,Vancomycin,4vanc.1,11000000,0.287154,0.026231,0.375769,0.003462,0.025615,0.146231,0.093923,0.008385,0.001,0.001,0.010231,0.009615,0.001,0.001,0.013923,0.001,0.001,0.001,0.001,0.011461
741-2D0,Vancomycin,4vanc.1,20500000,0.308692,0.060692,0.347462,0.007154,0.013308,0.122231,0.110538,0.014538,0.001,0.001,0.001,0.001,0.001,0.001,0.012077,0.001,0.001,0.001,0.001,0.013308
741-3D0,Vancomycin,4vanc.1,13900000,0.389923,0.018231,0.283462,0.002846,0.023769,0.109923,0.100077,0.033,0.001,0.001,0.004077,0.001,0.001,0.001,0.020692,0.001,0.001,0.001,0.001,0.025
039-1D1,Vancomycin,2vanc.625,115000000,0.022538,0.001615,0.098846,0.002231,0.030538,0.421923,0.409,0.014538,0.007154,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001617
039-3D1,Vancomycin,2vanc.625,160000000,0.003462,0.001,0.001615,0.001,0.012077,0.437923,0.519154,0.020692,0.001,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.001615,0.001,0.001,0.010231
740-1D0,Vancomycin,3vanc.3,24400000,0.005923,0.001,0.001615,0.001,0.067462,0.508692,0.386846,0.033,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003462
740-2D0,Vancomycin,3vanc.3,24000000,0.003462,0.001,0.001615,0.001,0.118538,0.629308,0.241,0.009615,0.001,0.001,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002231
740-3D0,Vancomycin,3vanc.3,26400000,0.001615,0.001615,0.001615,0.001,0.026846,0.620077,0.345615,0.008385,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002232
